"","nvar","r","d","het","iter","alpha","strategy","p1","p2","p3","p4","p5"
"1",2,0,0.1,0,1000,0.05,1,31.0126582278481,18.3544303797468,20.8860759493671,16.4556962025316,13.2911392405063
"2",2,0,0.1,0,1000,0.05,2,31.0126582278481,18.3544303797468,20.8860759493671,16.4556962025316,13.2911392405063
"3",2,0,0.1,0,1000,0.05,3,30.379746835443,18.3544303797468,20.8860759493671,16.4556962025316,13.9240506329114
"4",5,0,0.1,0,1000,0.05,1,37.6854599406528,19.8813056379822,16.6172106824926,13.353115727003,12.4629080118694
"5",5,0,0.1,0,1000,0.05,2,37.6854599406528,19.8813056379822,16.6172106824926,13.353115727003,12.4629080118694
"6",5,0,0.1,0,1000,0.05,3,30.5637982195846,18.6943620178042,17.8041543026706,16.9139465875371,16.0237388724036
"7",10,0,0.1,0,1000,0.05,1,34.4383057090239,20.8103130755064,16.7587476979742,14.1804788213628,13.8121546961326
"8",10,0,0.1,0,1000,0.05,2,34.4383057090239,20.8103130755064,16.7587476979742,14.1804788213628,13.8121546961326
"9",10,0,0.1,0,1000,0.05,3,25.414364640884,18.7845303867403,17.8637200736648,19.3370165745856,18.6003683241252
"10",2,0.5,0.1,0,1000,0.05,1,28.8732394366197,16.1971830985916,14.7887323943662,17.6056338028169,22.5352112676056
"11",2,0.5,0.1,0,1000,0.05,2,28.8732394366197,16.1971830985916,14.7887323943662,17.6056338028169,22.5352112676056
"12",2,0.5,0.1,0,1000,0.05,3,26.056338028169,15.4929577464789,15.4929577464789,19.0140845070423,23.943661971831
"13",5,0.5,0.1,0,1000,0.05,1,38.5826771653543,17.7165354330709,13.3858267716535,14.9606299212598,15.3543307086614
"14",5,0.5,0.1,0,1000,0.05,2,38.5826771653543,17.7165354330709,13.3858267716535,14.9606299212598,15.3543307086614
"15",5,0.5,0.1,0,1000,0.05,3,27.9527559055118,18.8976377952756,15.748031496063,18.1102362204724,19.2913385826772
"16",10,0.5,0.1,0,1000,0.05,1,34.1836734693878,19.1326530612245,17.0918367346939,15.5612244897959,14.030612244898
"17",10,0.5,0.1,0,1000,0.05,2,34.1836734693878,19.1326530612245,17.0918367346939,15.5612244897959,14.030612244898
"18",10,0.5,0.1,0,1000,0.05,3,20.4081632653061,19.3877551020408,20.1530612244898,20.6632653061225,19.3877551020408
"19",2,0,0.2,0,1000,0.05,1,44.4444444444444,17.5084175084175,17.5084175084175,10.1010101010101,10.4377104377104
"20",2,0,0.2,0,1000,0.05,2,44.4444444444444,17.5084175084175,17.5084175084175,10.1010101010101,10.4377104377104
"21",2,0,0.2,0,1000,0.05,3,40.4040404040404,18.1818181818182,18.5185185185185,11.4478114478114,11.4478114478114
"22",5,0,0.2,0,1000,0.05,1,48.1707317073171,19.1056910569106,11.9918699186992,10.3658536585366,10.3658536585366
"23",5,0,0.2,0,1000,0.05,2,48.1707317073171,19.1056910569106,11.9918699186992,10.3658536585366,10.3658536585366
"24",5,0,0.2,0,1000,0.05,3,35.1626016260163,21.5447154471545,16.4634146341463,13.8211382113821,13.0081300813008
"25",10,0,0.2,0,1000,0.05,1,51.5862068965517,17.1034482758621,12.6896551724138,10.0689655172414,8.55172413793103
"26",10,0,0.2,0,1000,0.05,2,51.5862068965517,17.1034482758621,12.6896551724138,10.0689655172414,8.55172413793103
"27",10,0,0.2,0,1000,0.05,3,35.1724137931034,18.2068965517241,15.1724137931034,15.3103448275862,16.1379310344828
"28",2,0.5,0.2,0,1000,0.05,1,48.4848484848485,19.6969696969697,11.7424242424242,10.6060606060606,9.46969696969697
"29",2,0.5,0.2,0,1000,0.05,2,48.4848484848485,19.6969696969697,11.7424242424242,10.6060606060606,9.46969696969697
"30",2,0.5,0.2,0,1000,0.05,3,41.2878787878788,22.3484848484848,10.9848484848485,12.5,12.8787878787879
"31",5,0.5,0.2,0,1000,0.05,1,48.0099502487562,16.4179104477612,14.9253731343284,8.70646766169154,11.9402985074627
"32",5,0.5,0.2,0,1000,0.05,2,48.0099502487562,16.4179104477612,14.9253731343284,8.70646766169154,11.9402985074627
"33",5,0.5,0.2,0,1000,0.05,3,35.5721393034826,18.1592039800995,18.9054726368159,11.6915422885572,15.6716417910448
"34",10,0.5,0.2,0,1000,0.05,1,52.6104417670683,20.4819277108434,11.0441767068273,8.03212851405623,7.83132530120482
"35",10,0.5,0.2,0,1000,0.05,2,52.6104417670683,20.4819277108434,11.0441767068273,8.03212851405623,7.83132530120482
"36",10,0.5,0.2,0,1000,0.05,3,32.9317269076305,24.4979919678715,14.6586345381526,12.6506024096386,15.2610441767068
"37",2,0,0.5,0,1000,0.05,1,67.0640834575261,12.220566318927,7.15350223546945,5.96125186289121,5.06706408345753
"38",2,0,0.5,0,1000,0.05,2,67.0640834575261,12.220566318927,7.15350223546945,5.96125186289121,5.06706408345753
"39",2,0,0.5,0,1000,0.05,3,59.4634873323398,14.903129657228,9.09090909090909,8.19672131147541,5.96125186289121
"40",5,0,0.5,0,1000,0.05,1,72.6535341830823,12.2827346465817,5.67786790266512,3.93974507531866,2.54924681344148
"41",5,0,0.5,0,1000,0.05,2,72.6535341830823,12.2827346465817,5.67786790266512,3.93974507531866,2.54924681344148
"42",5,0,0.5,0,1000,0.05,3,57.0104287369641,15.9907300115875,10.5446118192352,7.99536500579374,6.720741599073
"43",10,0,0.5,0,1000,0.05,1,79.7894736842105,8.21052631578947,4.52631578947368,2.10526315789474,2.42105263157895
"44",10,0,0.5,0,1000,0.05,2,79.7894736842105,8.21052631578947,4.52631578947368,2.10526315789474,2.42105263157895
"45",10,0,0.5,0,1000,0.05,3,54.7368421052632,15.2631578947368,11.1578947368421,8.52631578947368,8.42105263157895
"46",2,0.5,0.5,0,1000,0.05,1,64.5569620253165,11.8670886075949,8.22784810126582,7.59493670886076,4.43037974683544
"47",2,0.5,0.5,0,1000,0.05,2,64.5569620253165,11.8670886075949,8.22784810126582,7.59493670886076,4.43037974683544
"48",2,0.5,0.5,0,1000,0.05,3,58.8607594936709,12.1835443037975,10.4430379746835,9.01898734177215,6.4873417721519
"49",5,0.5,0.5,0,1000,0.05,1,72.9833546734955,9.98719590268886,6.65813060179257,5.12163892445583,2.04865556978233
"50",5,0.5,0.5,0,1000,0.05,2,72.9833546734955,9.98719590268886,6.65813060179257,5.12163892445583,2.04865556978233
"51",5,0.5,0.5,0,1000,0.05,3,53.5211267605634,15.2368758002561,11.2676056338028,11.2676056338028,6.0179257362356
"52",10,0.5,0.5,0,1000,0.05,1,77.6173285198556,9.14560770156438,4.21179302045728,3.6101083032491,3.24909747292419
"53",10,0.5,0.5,0,1000,0.05,2,77.6173285198556,9.14560770156438,4.21179302045728,3.6101083032491,3.24909747292419
"54",10,0.5,0.5,0,1000,0.05,3,50.3008423586041,16.9675090252708,9.62695547533093,10.4693140794224,11.0709987966306
"55",2,0,0.1,0.2,1000,0.05,1,50.3267973856209,15.359477124183,13.0718954248366,12.0915032679739,7.84313725490196
"56",2,0,0.1,0.2,1000,0.05,2,50.3267973856209,15.359477124183,13.0718954248366,12.0915032679739,7.84313725490196
"57",2,0,0.1,0.2,1000,0.05,3,48.0392156862745,16.0130718954248,13.0718954248366,12.7450980392157,8.82352941176471
"58",5,0,0.1,0.2,1000,0.05,1,46.1224489795918,20.8163265306122,11.0204081632653,11.2244897959184,10.2040816326531
"59",5,0,0.1,0.2,1000,0.05,2,46.1224489795918,20.8163265306122,11.0204081632653,11.2244897959184,10.2040816326531
"60",5,0,0.1,0.2,1000,0.05,3,35.5102040816327,21.8367346938776,13.6734693877551,14.6938775510204,13.6734693877551
"61",10,0,0.1,0.2,1000,0.05,1,53.7650602409639,16.566265060241,11.8975903614458,9.48795180722892,7.53012048192771
"62",10,0,0.1,0.2,1000,0.05,2,53.7650602409639,16.566265060241,11.8975903614458,9.48795180722892,7.53012048192771
"63",10,0,0.1,0.2,1000,0.05,3,33.8855421686747,20.6325301204819,15.8132530120482,16.7168674698795,12.5
"64",2,0.5,0.1,0.2,1000,0.05,1,48.2213438735178,16.2055335968379,14.2292490118577,9.88142292490119,11.0671936758893
"65",2,0.5,0.1,0.2,1000,0.05,2,48.2213438735178,16.2055335968379,14.2292490118577,9.88142292490119,11.0671936758893
"66",2,0.5,0.1,0.2,1000,0.05,3,39.5256916996047,20.9486166007905,16.600790513834,10.2766798418972,12.2529644268775
"67",5,0.5,0.1,0.2,1000,0.05,1,52.0942408376963,16.7539267015707,12.0418848167539,9.68586387434555,9.16230366492147
"68",5,0.5,0.1,0.2,1000,0.05,2,52.0942408376963,16.7539267015707,12.0418848167539,9.68586387434555,9.16230366492147
"69",5,0.5,0.1,0.2,1000,0.05,3,35.6020942408377,21.9895287958115,14.9214659685864,12.8272251308901,14.6596858638743
"70",10,0.5,0.1,0.2,1000,0.05,1,48.6652977412731,16.4271047227926,13.347022587269,10.8829568788501,9.24024640657084
"71",10,0.5,0.1,0.2,1000,0.05,2,48.6652977412731,16.4271047227926,13.347022587269,10.8829568788501,9.24024640657084
"72",10,0.5,0.1,0.2,1000,0.05,3,32.2381930184805,17.864476386037,16.6324435318275,16.6324435318275,15.8110882956879
"73",2,0,0.2,0.2,1000,0.05,1,52.0588235294118,15.2941176470588,12.3529411764706,8.23529411764706,10.2941176470588
"74",2,0,0.2,0.2,1000,0.05,2,52.0588235294118,15.2941176470588,12.3529411764706,8.23529411764706,10.2941176470588
"75",2,0,0.2,0.2,1000,0.05,3,50.2941176470588,14.4117647058824,13.2352941176471,9.70588235294118,10.8823529411765
"76",5,0,0.2,0.2,1000,0.05,1,54.2533081285444,16.6351606805293,9.64083175803403,10.9640831758034,7.93950850661626
"77",5,0,0.2,0.2,1000,0.05,2,54.2533081285444,16.6351606805293,9.64083175803403,10.9640831758034,7.93950850661626
"78",5,0,0.2,0.2,1000,0.05,3,42.1550094517958,19.6597353497164,13.2325141776938,13.0434782608696,11.7202268431002
"79",10,0,0.2,0.2,1000,0.05,1,54.8991354466859,17.1469740634006,9.79827089337176,8.5014409221902,8.06916426512968
"80",10,0,0.2,0.2,1000,0.05,2,54.8991354466859,17.1469740634006,9.79827089337176,8.5014409221902,8.06916426512968
"81",10,0,0.2,0.2,1000,0.05,3,38.6167146974063,19.8847262247839,13.9769452449568,13.5446685878963,13.2564841498559
"82",2,0.5,0.2,0.2,1000,0.05,1,53.4810126582278,15.8227848101266,9.81012658227848,9.17721518987342,10.126582278481
"83",2,0.5,0.2,0.2,1000,0.05,2,53.4810126582278,15.8227848101266,9.81012658227848,9.17721518987342,10.126582278481
"84",2,0.5,0.2,0.2,1000,0.05,3,46.8354430379747,16.1392405063291,12.0253164556962,11.3924050632911,12.0253164556962
"85",5,0.5,0.2,0.2,1000,0.05,1,51.7073170731707,18.2926829268293,10,10,8.78048780487805
"86",5,0.5,0.2,0.2,1000,0.05,2,51.7073170731707,18.2926829268293,10,10,8.78048780487805
"87",5,0.5,0.2,0.2,1000,0.05,3,37.3170731707317,18.0487804878049,16.0975609756098,13.4146341463415,14.390243902439
"88",10,0.5,0.2,0.2,1000,0.05,1,57.962962962963,15.7407407407407,11.6666666666667,7.59259259259259,6.2962962962963
"89",10,0.5,0.2,0.2,1000,0.05,2,57.962962962963,15.7407407407407,11.6666666666667,7.59259259259259,6.2962962962963
"90",10,0.5,0.2,0.2,1000,0.05,3,35,17.7777777777778,17.5925925925926,13.5185185185185,15.5555555555556
"91",2,0,0.5,0.2,1000,0.05,1,67.0846394984326,11.128526645768,7.68025078369906,5.79937304075235,4.07523510971787
"92",2,0,0.5,0.2,1000,0.05,2,67.0846394984326,11.128526645768,7.68025078369906,5.79937304075235,4.07523510971787
"93",2,0,0.5,0.2,1000,0.05,3,60.0313479623824,13.7931034482759,9.56112852664577,7.36677115987461,5.4858934169279
"94",5,0,0.5,0.2,1000,0.05,1,72.4137931034483,9.97536945812808,5.04926108374384,5.29556650246305,3.07881773399015
"95",5,0,0.5,0.2,1000,0.05,2,72.4137931034483,9.97536945812808,5.04926108374384,5.29556650246305,3.07881773399015
"96",5,0,0.5,0.2,1000,0.05,3,57.512315270936,15.5172413793103,7.51231527093596,8.99014778325123,7.38916256157635
"97",10,0,0.5,0.2,1000,0.05,1,78.856526429342,7.87486515641856,4.31499460625674,3.23624595469256,1.40237324703344
"98",10,0,0.5,0.2,1000,0.05,2,78.856526429342,7.87486515641856,4.31499460625674,3.23624595469256,1.40237324703344
"99",10,0,0.5,0.2,1000,0.05,3,54.0453074433657,15.9654800431499,10.0323624595469,8.41423948220065,8.30636461704423
"100",2,0.5,0.5,0.2,1000,0.05,1,61.4334470989761,14.5051194539249,8.87372013651877,6.31399317406143,4.60750853242321
"101",2,0.5,0.5,0.2,1000,0.05,2,61.4334470989761,14.5051194539249,8.87372013651877,6.31399317406143,4.60750853242321
"102",2,0.5,0.5,0.2,1000,0.05,3,55.80204778157,13.3105802047782,10.580204778157,9.89761092150171,6.8259385665529
"103",5,0.5,0.5,0.2,1000,0.05,1,71.1354309165527,10.5335157318741,6.703146374829,4.51436388508892,3.55677154582763
"104",5,0.5,0.5,0.2,1000,0.05,2,71.1354309165527,10.5335157318741,6.703146374829,4.51436388508892,3.55677154582763
"105",5,0.5,0.5,0.2,1000,0.05,3,55.6771545827633,13.5430916552668,10.5335157318741,8.48153214774282,9.30232558139535
"106",10,0.5,0.5,0.2,1000,0.05,1,70.4856787048568,10.4607721046077,5.72851805728518,4.60772104607721,3.48692403486924
"107",10,0.5,0.5,0.2,1000,0.05,2,70.4856787048568,10.4607721046077,5.72851805728518,4.60772104607721,3.48692403486924
"108",10,0.5,0.5,0.2,1000,0.05,3,49.439601494396,16.5628891656289,11.706102117061,10.2117061021171,8.7173100871731
"109",2,0,0.1,0.4,1000,0.05,1,62.7906976744186,13.2558139534884,6.04651162790698,6.74418604651163,7.90697674418605
"110",2,0,0.1,0.4,1000,0.05,2,62.7906976744186,13.2558139534884,6.04651162790698,6.74418604651163,7.90697674418605
"111",2,0,0.1,0.4,1000,0.05,3,57.2093023255814,14.6511627906977,8.37209302325581,8.6046511627907,8.13953488372093
"112",5,0,0.1,0.4,1000,0.05,1,62.5806451612903,14.1935483870968,9.83870967741936,4.83870967741935,6.61290322580645
"113",5,0,0.1,0.4,1000,0.05,2,62.5806451612903,14.1935483870968,9.83870967741936,4.83870967741935,6.61290322580645
"114",5,0,0.1,0.4,1000,0.05,3,47.0967741935484,18.5483870967742,14.3548387096774,8.2258064516129,10.6451612903226
"115",10,0,0.1,0.4,1000,0.05,1,65.4046997389034,12.402088772846,6.78851174934726,7.18015665796345,5.74412532637076
"116",10,0,0.1,0.4,1000,0.05,2,65.4046997389034,12.402088772846,6.78851174934726,7.18015665796345,5.74412532637076
"117",10,0,0.1,0.4,1000,0.05,3,45.5613577023499,18.1462140992167,12.0104438642298,12.1409921671018,10.313315926893
"118",2,0.5,0.1,0.4,1000,0.05,1,60.880195599022,15.8924205378973,7.09046454767726,7.8239608801956,4.64547677261614
"119",2,0.5,0.1,0.4,1000,0.05,2,60.880195599022,15.8924205378973,7.09046454767726,7.8239608801956,4.64547677261614
"120",2,0.5,0.1,0.4,1000,0.05,3,55.2567237163814,17.1149144254279,10.0244498777506,9.04645476772616,5.8679706601467
"121",5,0.5,0.1,0.4,1000,0.05,1,64.8648648648649,11.003861003861,9.07335907335907,6.37065637065637,4.82625482625483
"122",5,0.5,0.1,0.4,1000,0.05,2,64.8648648648649,11.003861003861,9.07335907335907,6.37065637065637,4.82625482625483
"123",5,0.5,0.1,0.4,1000,0.05,3,51.7374517374517,13.7065637065637,12.3552123552124,10.03861003861,8.88030888030888
"124",10,0.5,0.1,0.4,1000,0.05,1,61.7322834645669,13.3858267716535,10.2362204724409,7.08661417322835,5.03937007874016
"125",10,0.5,0.1,0.4,1000,0.05,2,61.7322834645669,13.3858267716535,10.2362204724409,7.08661417322835,5.03937007874016
"126",10,0.5,0.1,0.4,1000,0.05,3,41.8897637795276,16.6929133858268,16.0629921259843,12.755905511811,10.7086614173228
"127",2,0,0.2,0.4,1000,0.05,1,59.0631364562118,12.8309572301426,8.35030549898167,8.14663951120163,7.33197556008147
"128",2,0,0.2,0.4,1000,0.05,2,59.0631364562118,12.8309572301426,8.35030549898167,8.14663951120163,7.33197556008147
"129",2,0,0.2,0.4,1000,0.05,3,50.9164969450102,16.0896130346232,10.9979633401222,9.77596741344195,8.35030549898167
"130",5,0,0.2,0.4,1000,0.05,1,63.1741140215716,11.864406779661,8.93682588597843,6.47149460708783,6.62557781201849
"131",5,0,0.2,0.4,1000,0.05,2,63.1741140215716,11.864406779661,8.93682588597843,6.47149460708783,6.62557781201849
"132",5,0,0.2,0.4,1000,0.05,3,52.5423728813559,14.175654853621,12.0184899845917,8.78274268104777,10.1694915254237
"133",10,0,0.2,0.4,1000,0.05,1,68.1528662420382,13.2484076433121,6.4968152866242,4.84076433121019,4.45859872611465
"134",10,0,0.2,0.4,1000,0.05,2,68.1528662420382,13.2484076433121,6.4968152866242,4.84076433121019,4.45859872611465
"135",10,0,0.2,0.4,1000,0.05,3,49.0445859872611,17.4522292993631,12.7388535031847,8.6624203821656,10.4458598726115
"136",2,0.5,0.2,0.4,1000,0.05,1,62.2327790973872,12.8266033254157,9.02612826603325,6.41330166270784,4.98812351543943
"137",2,0.5,0.2,0.4,1000,0.05,2,62.2327790973872,12.8266033254157,9.02612826603325,6.41330166270784,4.98812351543943
"138",2,0.5,0.2,0.4,1000,0.05,3,56.5320665083135,13.7767220902613,11.1638954869359,8.07600950118765,6.17577197149644
"139",5,0.5,0.2,0.4,1000,0.05,1,63.3507853403141,11.8673647469459,9.07504363001745,6.63176265270506,5.58464223385689
"140",5,0.5,0.2,0.4,1000,0.05,2,63.3507853403141,11.8673647469459,9.07504363001745,6.63176265270506,5.58464223385689
"141",5,0.5,0.2,0.4,1000,0.05,3,48.1675392670157,12.739965095986,13.9616055846422,11.3438045375218,11.1692844677138
"142",10,0.5,0.2,0.4,1000,0.05,1,67.2077922077922,10.0649350649351,8.27922077922078,7.46753246753247,3.57142857142857
"143",10,0.5,0.2,0.4,1000,0.05,2,67.2077922077922,10.0649350649351,8.27922077922078,7.46753246753247,3.57142857142857
"144",10,0.5,0.2,0.4,1000,0.05,3,45.1298701298701,15.0974025974026,12.6623376623377,13.474025974026,11.3636363636364
"145",2,0,0.5,0.4,1000,0.05,1,68.3848797250859,8.07560137457045,7.21649484536082,4.98281786941581,5.32646048109966
"146",2,0,0.5,0.4,1000,0.05,2,68.3848797250859,8.07560137457045,7.21649484536082,4.98281786941581,5.32646048109966
"147",2,0,0.5,0.4,1000,0.05,3,63.0584192439863,9.96563573883162,9.45017182130584,6.52920962199313,5.84192439862543
"148",5,0,0.5,0.4,1000,0.05,1,70.1822916666667,9.50520833333333,4.03645833333333,3.77604166666667,3.25520833333333
"149",5,0,0.5,0.4,1000,0.05,2,70.1822916666667,9.50520833333333,4.03645833333333,3.77604166666667,3.25520833333333
"150",5,0,0.5,0.4,1000,0.05,3,56.7708333333333,13.28125,8.59375,7.03125,7.8125
"151",10,0,0.5,0.4,1000,0.05,1,76.054732041049,7.52565564424173,4.56100342075257,3.76282782212087,3.30672748004561
"152",10,0,0.5,0.4,1000,0.05,2,76.054732041049,7.52565564424173,4.56100342075257,3.76282782212087,3.30672748004561
"153",10,0,0.5,0.4,1000,0.05,3,57.1265678449259,13.1128848346636,11.2884834663626,8.0957810718358,7.06955530216648
"154",2,0.5,0.5,0.4,1000,0.05,1,69.0812720848057,11.13074204947,6.36042402826855,3.53356890459364,4.41696113074205
"155",2,0.5,0.5,0.4,1000,0.05,2,69.0812720848057,11.13074204947,6.36042402826855,3.53356890459364,4.41696113074205
"156",2,0.5,0.5,0.4,1000,0.05,3,63.9575971731449,12.0141342756184,7.24381625441696,5.12367491166078,6.36042402826855
"157",5,0.5,0.5,0.4,1000,0.05,1,71.242774566474,7.51445086705202,6.21387283236994,2.74566473988439,4.47976878612717
"158",5,0.5,0.5,0.4,1000,0.05,2,71.242774566474,7.51445086705202,6.21387283236994,2.74566473988439,4.47976878612717
"159",5,0.5,0.5,0.4,1000,0.05,3,58.6705202312139,12.1387283236994,9.53757225433526,6.35838150289017,7.51445086705202
"160",10,0.5,0.5,0.4,1000,0.05,1,70.0389105058366,8.81971465629053,6.09597924773022,5.05836575875486,3.89105058365759
"161",10,0.5,0.5,0.4,1000,0.05,2,70.0389105058366,8.81971465629053,6.09597924773022,5.05836575875486,3.89105058365759
"162",10,0.5,0.5,0.4,1000,0.05,3,48.2490272373541,14.2671854734112,12.3216601815824,11.284046692607,9.59792477302205
